18,沈阳药科大学,J01,1, ( J0108 ) ,沈阳药科大学基础药学基地,120万元,2008年01月01日 至 2010年12月31日,毕开顺,http://fund.sciencenet.cn/index.php/item/view/167471
22,沈阳药科大学,H28,1,民族药学 ( H2818 ) ,苗药吉祥草止咳作用物质基础及其机制的研究,18万元,2011年01月01日 至 2013年12月31日,韩娜,http://fund.sciencenet.cn/index.php/item/view/3595
23,沈阳药科大学,H30,1,药剂学 ( H3008 ) ,新型潜在药物载体离子交换纤维性质和载药特征的基础研究及评价,35万元,2011年01月01日 至 2013年12月31日,李三鸣,http://fund.sciencenet.cn/index.php/item/view/2028
24,沈阳药科大学,H28,1,中药药代动力学 ( H2816 ) ,基于代谢组学和血清药理学的组合药代动力学研究活血化瘀中药复方的药效物质基础及其配伍规律,32万元,2011年01月01日 至 2013年12月31日,于治国,http://fund.sciencenet.cn/index.php/item/view/1063
26,沈阳药科大学,H30,1,药剂学 ( H3008 ) ,三维有序大孔二氧化硅纳米药物载体的构建及增加难溶性药物口服吸收的机制,34万元,2011年01月01日 至 2013年12月31日,王思玲,http://fund.sciencenet.cn/index.php/item/view/377
14,沈阳药科大学,B02,4,药物分子设计与合成 ( B020601 ) ,新型乙酰胆碱酯酶抑制剂的设计、合成及其生物活性研究,35万元,2011年01月01日 至 2013年12月31日,胡春,http://fund.sciencenet.cn/index.php/item/view/49678
45,沈阳药科大学,C19,4,民族药学 ( C191002 ) ,中国西北部中药资源开发国际研讨会,1万元,2009年01月01日 至 2010年12月31日,殷军,http://fund.sciencenet.cn/index.php/item/view/43526
46,沈阳药科大学,H30,4,天然药物化学 ( H3002 ) ,具有抑制肿瘤血管生成活性的查耳酮类天然产物的快速发现及其构效关系研究,19万元,2011年01月01日 至 2013年12月31日,李宁,http://fund.sciencenet.cn/index.php/item/view/38303
47,沈阳药科大学,C09,4,细胞神经生物学 ( C090202 ) ,L型钙离子通道的不同亚型在生理状态和尼古丁成瘾状态下对于腹侧被盖区多巴胺细胞放电行为的影响及其机制,20万元,2011年01月01日 至 2013年12月31日,刘羽丹,http://fund.sciencenet.cn/index.php/item/view/38302
48,沈阳药科大学,B02,4,药物分子设计与合成 ( B020601 ) ,小分子多靶点RTKs抑制剂双芳基脲类化合物的研究,19万元,2011年01月01日 至 2013年12月31日,翟鑫,http://fund.sciencenet.cn/index.php/item/view/38301
49,沈阳药科大学,B02,4,海洋天然产物化学 ( B020403 ) ,基于化学－生物合成对海洋来源真菌抗肿瘤次级代谢产物化学多样性的研究,19万元,2011年01月01日 至 2013年12月31日,李占林,http://fund.sciencenet.cn/index.php/item/view/38300
