19,沈阳药科大学,C08,1,免疫调节 ( C080105 ) ,昆虫Toll受体激活途径的一种负向调控因子的一级结构及其作用,23万元,2012年01月01日 至 2014年12月31日,赵明沂,http://fund.sciencenet.cn/index.php/item/view/9088
20,沈阳药科大学,B03,1,结构生物物理化学 ( B030901 ) ,东亚钳蝎α类镇痛活性肽功能位点研究,25万元,2012年01月01日 至 2014年12月31日,赵勇山,http://fund.sciencenet.cn/index.php/item/view/9087
21,沈阳药科大学,B02,1,化学生物学与生物有机化学 ( B0207 ) ,跨（人工/细胞）膜识别四链体DNA的荧光传感研究,25万元,2012年01月01日 至 2014年12月31日,杨鹏,http://fund.sciencenet.cn/index.php/item/view/9086
25,沈阳药科大学,H30,1,药剂学 ( H3008 ) ,神经性耳聋治疗新模式：载神经营养因子类脂立方晶内耳给药系统的研究,25万元,2012年01月01日 至 2014年12月31日,刘洪卓,http://fund.sciencenet.cn/index.php/item/view/1057
16,沈阳药科大学,H31,2,药物代谢与药物动力学 ( H3110 ) ,川丁特罗潜在活性及毒性代谢及其相关酶学研究,25万元,2012年01月01日 至 2014年12月31日,秦峰,http://fund.sciencenet.cn/index.php/item/view/9098
27,沈阳药科大学,H31,2,抗肿瘤药物药理 ( H3105 ) ,以Procaspase-3为靶点的小分子激活剂发现及其抗肿瘤活性与机制研究,22万元,2012年01月01日 至 2014年12月31日,王立辉,http://fund.sciencenet.cn/index.php/item/view/9097
28,沈阳药科大学,H31,2,抗炎与免疫药物药理 ( H3104 ) ,PDE5抑制剂抑制小胶质细胞活化抗脑缺血的cGMP通路相关机制研究,25万元,2012年01月01日 至 2014年12月31日,杨静玉,http://fund.sciencenet.cn/index.php/item/view/9096
29,沈阳药科大学,H31,2,神经精神药物药理 ( H3101 ) ,小胶质细胞-MAPK-PIC在精神分裂症中的作用机制研究,20万元,2012年01月01日 至 2014年12月31日,侯悦,http://fund.sciencenet.cn/index.php/item/view/9095
30,沈阳药科大学,H30,2,药剂学 ( H3008 ) ,人工重组低密度脂蛋白肿瘤靶向纳米脂质载体的研究,23万元,2012年01月01日 至 2014年12月31日,胡海洋,http://fund.sciencenet.cn/index.php/item/view/9094
31,沈阳药科大学,H30,2,药剂学 ( H3008 ) ,微粒制剂干法包衣过程中聚合物粒子包覆及成膜过程研究,21万元,2012年01月01日 至 2014年12月31日,何海冰,http://fund.sciencenet.cn/index.php/item/view/9093
32,沈阳药科大学,H30,2,药物设计与药物信息 ( H3007 ) ,基于PAK-1/4激酶信号网络的抗肿瘤药物分子设计,25万元,2012年01月01日 至 2014年12月31日,王健,http://fund.sciencenet.cn/index.php/item/view/9092
33,沈阳药科大学,H30,2,生物技术药物 ( H3004 ) ,东亚钳蝎抗神经兴奋肽结构与镇痛关系的研究,22万元,2012年01月01日 至 2014年12月31日,宋永波,http://fund.sciencenet.cn/index.php/item/view/9091
34,沈阳药科大学,H30,2,合成药物化学 ( H3001 ) ,小分子HDAC/DNMT双重抑制剂苯丙酰胺二硫化物的设计、合成及分化诱导作用研究,22万元,2012年01月01日 至 2014年12月31日,刘丹,http://fund.sciencenet.cn/index.php/item/view/9090
35,沈阳药科大学,H16,2,乳腺肿瘤 ( H1622 ) ,乳腺癌中Sonic Hedgehog启动子甲基化对其转录调节及其生物学功能的影响,22万元,2012年01月01日 至 2014年12月31日,崔巍,http://fund.sciencenet.cn/index.php/item/view/9089
15,沈阳药科大学,H28,3,中药药效物质 ( H2803 ) ,查耳酮类迈克尔反应受体小分子的发现与醌还原酶诱导活性研究,58万元,2012年01月01日 至 2015年12月31日,李宁,http://fund.sciencenet.cn/index.php/item/view/22031
36,沈阳药科大学,C03,3,污染生态学 ( C0310 ) ,污水处理系统中以质粒和整合子为载体的抗生素抗性基因的分子传播机制及抗性基因的归趋,63万元,2012年01月01日 至 2015年12月31日,毛大庆,http://fund.sciencenet.cn/index.php/item/view/22030
37,沈阳药科大学,C10,3,纳米生物学 ( C1007 ) ,双功能自组装纳米反应器介导蛋白质结晶的可控生长及跨膜转运的研究,60万元,2012年01月01日 至 2015年12月31日,石凯,http://fund.sciencenet.cn/index.php/item/view/22029
38,沈阳药科大学,H30,3,药剂学 ( H3008 ) ,In silico/In vitro偶联ACAT生理模型筛选药物及其制剂的生物利用度/生物等效性,50万元,2012年01月01日 至 2015年12月31日,孙进,http://fund.sciencenet.cn/index.php/item/view/22028
39,沈阳药科大学,H28,3,中药质量评价 ( H2804 ) ,基于植物组学质量控制方法的钩藤药材质量评价模式的研究,58万元,2012年01月01日 至 2015年12月31日,袁丹,http://fund.sciencenet.cn/index.php/item/view/22027
40,沈阳药科大学,H28,3,中药抗肿瘤药理 ( H2810 ) ,冬凌草甲素抑制caspase-9诱导喉癌细胞凋亡的机制研究,20万元,2012年01月01日 至 2014年12月31日,康宁,http://fund.sciencenet.cn/index.php/item/view/9103
41,沈阳药科大学,H28,3,中药药效物质 ( H2803 ) ,基于血清动态图谱和多组分药代动力学的四逆散药效物质基础及配伍机理研究,22万元,2012年01月01日 至 2014年12月31日,温静,http://fund.sciencenet.cn/index.php/item/view/9102
42,沈阳药科大学,H28,3,中药药效物质 ( H2803 ) ,丹参酚酸B苦参碱复盐抗肝纤维化的机制研究,22万元,2012年01月01日 至 2014年12月31日,魏秀岩,http://fund.sciencenet.cn/index.php/item/view/9101
43,沈阳药科大学,H28,3,中药药效物质 ( H2803 ) ,生物体内多胺水平与癌症及抗癌中药疗效的相关性研究,22万元,2012年01月01日 至 2014年12月31日,李清,http://fund.sciencenet.cn/index.php/item/view/9100
44,沈阳药科大学,H28,3,中药资源 ( H2801 ) ,朝鲜淫羊藿种质资源保育关键问题研究,25万元,2012年01月01日 至 2014年12月31日,王晶,http://fund.sciencenet.cn/index.php/item/view/9099
